Type: Dichroic
Name: NI Channel Splitter Dichroic
Typical Measured Spectrum of Semrock FF640-FDi01 Optical Filter,
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
621.6,0.03764
621.8,0.0382
622.0,0.03898
622.2,0.03972
622.4,0.0406
622.6,0.04157
622.8,0.04257
623.0,0.04373
623.2,0.04464
623.4,0.04571
623.6,0.0466
623.8,0.04739
624.0,0.04827
624.2,0.0491
624.4,0.04997
624.6,0.05042
624.8,0.05068
625.0,0.05097
625.2,0.05119
625.4,0.0513
625.6,0.05138
625.8,0.05128
626.0,0.05131
626.2,0.05114
626.4,0.05104
626.6,0.05075
626.8,0.05064
627.0,0.05053
627.2,0.05041
627.4,0.05062
627.6,0.05091
627.8,0.05128
628.0,0.05173
628.2,0.05206
628.4,0.05267
628.6,0.05323
628.8,0.05414
629.0,0.05523
629.2,0.05629
629.4,0.05736
629.6,0.05875
629.8,0.06016
630.0,0.06178
630.2,0.06377
630.4,0.0656
630.6,0.06769
630.8,0.06986
631.0,0.0725
631.2,0.07513
631.4,0.07788
631.6,0.08084
631.8,0.084
632.0,0.08739
632.2,0.09145
632.4,0.09555
632.6,0.09945
632.8,0.10423
633.0,0.10903
