Type: filter
Name: Semrock FF01-676/37 Optical Filter
Wavelength (nm), Transmission (0 to 1)
482.6,6.5028e-08
482.8,6.5175e-08
483.0,6.5323e-08
483.2,6.5472e-08
483.4,6.562e-08
483.6,6.5769e-08
483.8,6.5919e-08
484.0,6.6068e-08
484.2,6.6218e-08
484.4,6.6369e-08
484.6,6.6519e-08
484.8,6.667e-08
485.0,6.6822e-08
485.2,6.6973e-08
485.4,6.6992e-08
485.6,6.6512e-08
485.8,6.6035e-08
486.0,6.5562e-08
486.2,6.5092e-08
486.4,6.4625e-08
486.6,6.4162e-08
486.8,6.3702e-08
487.0,6.3245e-08
487.2,6.2792e-08
487.4,6.2342e-08
487.6,6.1895e-08
487.8,6.1451e-08
488.0,6.1011e-08
488.2,6.0574e-08
488.4,6.0139e-08
488.6,5.9708e-08
488.8,5.928e-08
489.0,5.8855e-08
489.2,5.7666e-08
489.4,5.6278e-08
489.6,5.4923e-08
489.8,5.3601e-08
490.0,5.231e-08
490.2,5.1051e-08
490.4,4.9822e-08
490.6,4.8622e-08
490.8,4.7452e-08
491.0,4.631e-08
491.2,4.5195e-08
491.4,4.4107e-08
491.6,4.3045e-08
491.8,4.2009e-08
492.0,4.0997e-08
492.2,4.001e-08
492.4,3.9047e-08
492.6,3.8107e-08
492.8,3.8144e-08
493.0,4.0104e-08
493.2,4.2165e-08
493.4,4.4333e-08
493.6,4.6611e-08
493.8,4.9007e-08
494.0,5.1526e-08
494.2,5.4174e-08
494.4,5.6958e-08
494.6,5.9886e-08
494.8,6.2964e-08
495.0,6.62e-08
495.2,6.9602e-08
495.4,7.318e-08
495.6,7.6941e-08
495.8,8.0896e-08
496.0,8.5053e-08
496.2,8.9425e-08
496.4,9.4021e-08
496.6,9.1743e-08
496.8,8.8902e-08
497.0,8.6149e-08
497.2,8.3481e-08
497.4,8.0896e-08
497.6,7.8391e-08
497.8,7.5963e-08
498.0,7.361e-08
